ID,Straßenname,benannt nach,Geschlecht,Geburtsort,Sterbeort,Beruf,Geburtsjahr,Todesjahr,Wirkungsbereich,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Partei,Sonstiges,lokaler Bezug
861,Bertolt-Brecht-Platz,Bertolt Brecht,männlich,Augsburg,Ost-Berlin,"Librettist, Bühnenregisseur, Literaturkritiker, Regisseur, Filmregisseur, Liedtexter, Dramatiker, Dichter, Schriftsteller, Drehbuchautor",1898,1956.0,national,kulturell,Schriftsteller,Sozialismus/Kommunismus,,,nein
933,Holbeinstraße,Hans Holbein der Jüngere,männlich,Augsburg,London,"Exlibriskünstler, Porträtist, Zeichner, Druckgrafiker, bildender Künstler, Maler, Illustrator, Künstler",1497,1543.0,national,kulturell,Bildender Künstler,,,,nein
1056,Bertolt-Brecht-Allee,Bertolt Brecht,männlich,Augsburg,Ost-Berlin,"Literaturkritiker, Librettist, Bühnenregisseur, Filmregisseur, Regisseur, Liedtexter, Dramatiker, Dichter, Schriftsteller, Drehbuchautor",1898,1956.0,national,kulturell,Schriftsteller,,,,nein
1410,Mengsstraße,Anton Raphael Mengs,männlich,Aussig,Rom,"Kunsthistoriker, Maler",1728,1779.0,lokal,kulturell,Bildender Künstler,,,,nein
1601,Kügelgenstraße,Gerhard von Kügelgen,männlich,Bacharach,Dresden,"Hochschullehrer, Maler",1772,1820.0,lokal,kulturell,Bildender Künstler,,,,ja
1497,Rauchstraße,Christian Daniel Rauch,männlich,Bad Arolsen,Dresden,"bildender Künstler, Kunsthistoriker, Bildhauer",1777,1857.0,lokal,kulturell,Bildender Künstler,,,,ja
1088,August-Bebel-Straße (CB),August Bebel,männlich,Deutz,Passugg,"Drechsler, Politiker, Schriftsteller",1840,1913.0,lokal,politisch,Abgeordneter,"Sozialismus/Kommunismus, Sozialdemokratie",SPD,,nein
1438,Stübelallee,Paul Alfred Stübel,männlich,Dresden,Dresden,"Jurist, Politiker",1827,1895.0,lokal,politisch,Abgeordneter,National-Liberalismus,NLP,,ja
1703,Gußmannstraße,Otto Gussmann,männlich,Bad Mergentheim,Dresden,"Hochschullehrer, Maler",1869,1926.0,lokal,kulturell,Bildender Künstler,,,,ja
1434,Gillestraße,Christian Friedrich Gille,männlich,Ballenstedt,Wahnsdorf,Maler,1805,1899.0,lokal,kulturell,Bildender Künstler,,,,nein
1026,Caroline-Bardua-Straße,Caroline Bardua,weiblich,Ballenstedt,Ballenstedt,"Salonnière, Maler",1781,1864.0,lokal,kulturell,Bildender Künstler,,,,nein
871,Böcklinstraße,Arnold Böcklin,männlich,Basel,Fiesole,"Zeichner, Designer, Hochschullehrer, Bildhauer, Maler",1827,1901.0,international,kulturell,Bildender Künstler,,,,nein
1846,Försterlingstraße,Friedrich Wilhelm Emil Försterling,männlich,Dresden,Dresden,"Kupferschmied, Politiker",1827,1872.0,lokal,politisch,Abgeordneter,Sozialdemokratie,LADAV,,ja
3216,Josef-Burg-Straße,,männlich,Dresden,Jerusalem,"Politiker, Rabbi",1909,1999.0,lokal,politisch,Abgeordneter,Judentum,,,ja
1509,Bellingrathstraße,Ewald Bellingrath,männlich,Barmen,Dresden,Ingenieur,1838,1903.0,lokal,ökonomisch,Ingenieur,,,,ja
1711,Lehmannstraße,Johann Georg Lehmann,männlich,Baruth/Mark,Dresden,"Kartograf, Vermesser",1765,1811.0,lokal,wissenschaftlich,Sonstige,,,,ja
1395,Paul-Wicke-Straße,Paul Wicke,männlich,Bautzen,Weixdorf,Maler,1892,1948.0,lokal,kulturell,Bildender Künstler,,,,nein
1147,Else-Ulich-Beil-Straße,Else Ulich-Beil,weiblich,Elberfeld,Berlin,Politiker,1886,1965.0,lokal,politisch,Abgeordneter,,DDP,,nein
1082,Eulerstraße,Leonhard Euler,männlich,Basel,Sankt Petersburg,"Musiktheoretiker, Hochschullehrer, Führungskraft, Geograph, Erfinder, Mathematiker, Physiker, Schriftsteller, Wissenschaftler, Astronom",1707,1783.0,international,wissenschaftlich,Naturwissenschaftler,,,,nein
1146,Anna-Angermann-Straße,Anna Elisabeth Angermann,weiblich,Bautzen,,Maler,1883,1985.0,lokal,kulturell,Bildender Künstler,,,,nein
1113,Erlweinstraße,Hans Erlwein,männlich,Bayerisch Gmain,,Architekt,1872,1914.0,lokal,kulturell,Architekt,,,,nein
1536,Ackermannstraße,Karl Gustav Ackermann,männlich,Elsterberg,Dresden,"Dienstherr, Notar, Politiker, Rechtsanwalt",1820,1901.0,lokal,politisch,Abgeordneter,Monarchie,Deutschkonservative Partei,,ja
1270,Wilhelm-Liebknecht-Straße,Wilhelm Liebknecht,männlich,Gießen,Charlottenburg,"Friedensaktivist, Revolutionär, Journalist, Politiker, Schriftsteller",1826,1900.0,regional,politisch,Abgeordneter,Sozialdemokratie,SPD,,nein
1748,Clausen-Dahl-Straße,Johan Christian Dahl,männlich,Bergen (Norwegen),Dresden,"Maler, Professor",1788,1857.0,lokal,kulturell,Bildender Künstler,,,,ja
962,Max-Liebermann-Straße,Max Liebermann,männlich,Berlin,Berlin,"Lithograf, Zeichner, Bauzeichner, Radierer, Sammler, Druckgrafiker, Grafiker, bildender Künstler, Maler, Illustrator, Lehrer",1847,1935.0,national,kulturell,Bildender Künstler,,,,nein
1600,Ammonstraße,Christoph Ammon,männlich,Bayreuth,Dresden,"Linguist, Hochschullehrer, Theologe",1766,1850.0,lokal,religiös,Sonstige,evangelisch,,,ja
1758,Kadenstraße,August Kaden,männlich,Großenhain,Dresden,"Verleger, Herausgeber, Politiker",1850,1913.0,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,,ja
1190,Oskar-Pletsch-Straße,Oscar Pletsch,männlich,Berlin,Niederlößnitz,"Illustrator, Maler",1830,1888.0,lokal,kulturell,Bildender Künstler,,,,nein
1112,Emil-Rosenow-Straße,Emil Rosenow,männlich,Köln,Schöneberg,"Journalist, Politiker, Schriftsteller",1871,1904.0,national,politisch,Abgeordneter,Sozialdemokratie,SPD,,nein
1021,Breitscheidstraße,Rudolf Breitscheid,männlich,Köln,KZ Buchenwald,"Journalist, Politiker",1874,1944.0,national,politisch,Abgeordneter,"Sozialdemokratie, NS-Verfolgte","SPD, USPD, DV, Fvg",,nein
1068,Breitscheidstraße (CB),Rudolf Breitscheid,männlich,Köln,KZ Buchenwald,"Journalist, Politiker",1874,1944.0,national,politisch,Abgeordneter,"Sozialdemokratie, NS-Verfolgte","SPD, USPD, DV, Fvg",,nein
1223,Gutzkowstraße,Karl Gutzkow,männlich,Berlin,Frankfurt am Main,"Romancier, Literaturkritiker, Journalist, Dramatiker, Schriftsteller",1811,1878.0,lokal,kulturell,Schriftsteller,,,,nein
1242,Clara-Zetkin-Straße,Clara Zetkin,weiblich,Königshain-Wiederau,Krasnogorsk,"Frauenrechtler, Friedensaktivist, Journalist, Herausgeber, Suffragette, Politiker, Lehrer, Schriftsteller",1857,1933.0,regional,politisch,Abgeordneter,Sozialismus/Kommunismus,"SPD, USPD, KPD",,nein
3204,Clara-Zetkin-Straße (Radebeul),Clara Zetkin,weiblich,Königshain-Wiederau,Krasnogorsk,"Frauenrechtler, Friedensaktivist, Journalist, Herausgeber, Suffragette, Politiker, Lehrer, Schriftsteller",1857,1933.0,regional,politisch,Abgeordneter,Sozialismus/Kommunismus,"SPD, USPD, KPD",,nein
1014,Julius-Vahlteich-Straße,Julius Vahlteich,männlich,Leipzig,Chicago,"Journalist, Kaufmann, Schuhmacher, Politiker",1839,1915.0,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,,nein
954,Karl-Liebknecht-Straße,Karl Liebknecht,männlich,Leipzig,Berlin,"Revolutionär, Herausgeber, Politiker, Rechtsanwalt",1871,1919.0,national,politisch,Abgeordneter,Sozialismus/Kommunismus,"SPD, KPD",,nein
1412,Ferdinand-Avenarius-Straße,Ferdinand Avenarius,männlich,Berlin,Kampen,"Publizist, Kunsthistoriker, Pädagoge, Dichter, Schriftsteller",1856,1923.0,lokal,kulturell,Schriftsteller,,,,nein
1429,Tieckstraße,Ludwig Tieck,männlich,Berlin,Berlin,"Märchensammler, Romancier, Literaturkritiker, Verleger, Übersetzer, Dramatiker, Dichter, Schriftsteller",1773,1853.0,lokal,kulturell,Schriftsteller,,,,nein
1133,Bertha-Dißmann-Straße,Bertha Dißmann,weiblich,Berlin,,"Sachbuchautor, Lehrer, Schriftsteller",1874,1954.0,lokal,kulturell,Schriftsteller,,,,nein
1230,Hans-Thoma-Straße,Hans Thoma,männlich,Bernau im Schwarzwald,Karlsruhe,"Druckgrafiker, bildender Künstler, Grafiker, Hochschullehrer, Maler",1839,1924.0,national,kulturell,Bildender Künstler,,,,nein
1685,Rudolf-Nehmer-Straße,Rudolf Nehmer,männlich,Bobrowice,Dresden,Maler,1912,1983.0,lokal,kulturell,Bildender Künstler,,,,ja
977,Martin-Opitz-Straße,Martin Opitz,männlich,Bolesławiec,Danzig,"Literaturtheoretiker, Hauslehrer, Dichterjurist, Übersetzer, Dichter, Schriftsteller",1597,1639.0,national,kulturell,Schriftsteller,,,,nein
958,Liebknechtstraße,Karl Liebknecht,männlich,Leipzig,Berlin,"Revolutionär, Herausgeber, Politiker, Rechtsanwalt",1871,1919.0,national,politisch,Abgeordneter,Sozialismus/Kommunismus,"SPD, KPD",,nein
1109,Goetzplatz,Ferdinand Goetz,männlich,Leipzig,Leipzig,"Redakteur, Politiker, Arzt",1826,1915.0,regional,politisch,Abgeordneter,Turnerbewegung,NLP,,nein
1477,Wigardstraße,Franz Jacob Wigard,männlich,Mannheim,Dresden,"Arzt, Politiker",1807,1885.0,lokal,politisch,Abgeordneter,National-Liberalismus,Deutsche Fortschrittspartei,,ja
1025,Hugo-Hickmann-Straße,Hugo Hickmann,männlich,Meißen,Langebrück,"Theologe, Politiker",1877,1955.0,lokal,politisch,Abgeordneter,Konservatismus,"DVP, DDR-CDU",,nein
1307,Gautschweg,Karl Gautsch,männlich,Mochau,,Rechtsanwalt,1810,1879.0,lokal,politisch,Abgeordneter,Märzrevolution,,,nein
1192,Vollmarstraße,Georg von Vollmar,männlich,München,Urfeld,"Politiker, Schriftsteller",1850,1922.0,regional,politisch,Abgeordneter,Sozialdemokratie,SPD,,nein
873,Lennéstraße,Peter Joseph Lenné,männlich,Bonn,Potsdam,"Botaniker, Landschaftsarchitekt, Gärtner, Architekt",1789,1866.0,national,kulturell,Architekt,,,,nein
984,Bruno-Bürgel-Straße,Bruno H. Bürgel,männlich,Berlin,Potsdam,"Science-Fiction-Schriftsteller, Schriftsteller, Astronom",1875,1948.0,national,wissenschaftlich,Naturwissenschaftler,,,,nein
1714,Werner-Hartmann-Straße,Werner Hartmann,männlich,Berlin,Dresden,"Hochschullehrer, Physiker",1912,1988.0,lokal,wissenschaftlich,Naturwissenschaftler,,,,ja
916,Lennéplatz,Peter Joseph Lenné,männlich,Bonn,Potsdam,"Landschaftsarchitekt, Botaniker, Gärtner, Architekt",1789,1866.0,national,kulturell,Architekt,,,,nein
986,Charlotte-Bühler-Straße,Charlotte Bühler,weiblich,Berlin,Stuttgart,"Hochschullehrer, Psychologe",1893,1974.0,lokal,wissenschaftlich,Sonstige,,,,nein
1834,Bönischplatz,Karl Friedrich Emil Bönisch,männlich,Neukirch,Dresden,"Politiker, Bürgermeister",1832,1894.0,lokal,politisch,Abgeordneter,Liberalismus,DFP,,ja
1041,Julie-Salinger-Weg,Julie Salinger,weiblich,Ostpreußen,KZ Theresienstadt,"Redner, Rechtsschutz, Politiker",1863,1942.0,lokal,politisch,Abgeordneter,NS-Verfolgte,DDP,,nein
956,Konrad-Zuse-Straße,Konrad Zuse,männlich,Berlin-Wilmersdorf,Hünfeld,"Bauingenieur, Erfinder, Unternehmer, Informatiker, Ingenieur",1910,1995.0,national,ökonomisch,Erfinder,,,,nein
868,Simrockstraße,Karl Simrock,männlich,Bonn,Bonn,"Linguist, Germanist, Hochschullehrer, Dichterjurist, Übersetzer, Dichter",1802,1876.0,national,kulturell,Schriftsteller,,,,nein
1252,Curt-Querner-Straße,Curt Querner,männlich,Börnchen,Kreischa,"Zeichner, Maler",1904,1976.0,lokal,kulturell,Bildender Künstler,,,,nein
1615,Georg-Schumann-Straße,Georg Schumann,männlich,Reudnitz,Dresden,"Widerstandskämpfer, Politiker",1886,1945.0,lokal,politisch,Abgeordneter,"NS-Widerstand, Sozialismus/Kommunismus","KPD, SPD",,ja
1802,Preußerstraße,Johann Gottlob Preußer,männlich,Siebenlehn,Dresden,Landtagsabgeordneter,1766,1832.0,lokal,politisch,Abgeordneter,,,,ja
1271,Zamenhofstraße,Ludwik Lejzer Zamenhof,männlich,Białystok,Warschau,"Facharzt für Augenheilkunde, Bibelübersetzer, Esperantologe, Philologe, Linguist, Esperantist, Erfinder, Dichterarzt, Übersetzer, Arzt, Dichter",1859,1917.0,international,kulturell,Erfinder,,,,nein
1506,Dinglingerstraße,Johann Melchior Dinglinger,männlich,Biberach an der Riß,Dresden,"bildender Künstler, Maler, Juwelier, Goldschmied",1664,1731.0,lokal,kulturell,Sonstige,,,,ja
1585,Hartwigweg,Gustav Hartwig,männlich,Unkersdorf,Dresden,"Baumeister, Politiker",1839,1908.0,lokal,politisch,Abgeordneter,"Antisemitismus, Konservatismus","DRP, CSP",,ja
1488,Zinzendorfstraße,Nikolaus Ludwig von Zinzendorf,männlich,Dresden,Herrnhut,"Kirchenlieddichter, Reformator, Übersetzer, Theologe, Priester, Dichter, Schriftsteller",1700,1760.0,lokal,religiös,Bischof,,,,ja
1156,Anton-Günther-Weg,Anton Günther,männlich,Boží Dar,Boží Dar,"Lithograf, Dichter",1876,1937.0,regional,kulturell,Schriftsteller,,,,nein
924,Comeniusplatz,Johann Amos Comenius,männlich,Uherský Brod,Amsterdam,"Linguist, Philosoph, Theologe, Pädagoge, Presbyter, Archivar, Historiker, Politiker, Lehrer, Schriftsteller, Bischof, Wissenschaftler",1592,1670.0,international,religiös,Bischof,,,,nein
994,Dr.-Külz-Ring,Wilhelm Külz,männlich,Borna,Berlin,"Lord Mayor, Politiker, Rechtsanwalt",1875,1948.0,lokal,politisch,Bürgermeister,Liberalismus,"DDP, LDP, DPD",,nein
939,Oeserstraße,Adam Friedrich Oeser,männlich,Bratislava,Leipzig,"Zeichner, Druckgrafiker, Radierer, Hochschullehrer, Maler, Illustrator, Künstler",1717,1799.0,lokal,kulturell,Bildender Künstler,,,,nein
1197,Wittenstraße,Hans Witten von Köln,männlich,Braunschweig,Annaberg-Buchholz,Bildhauer,1450,1522.0,regional,kulturell,Bildender Künstler,,,,nein
1420,Bockemühlstraße,Alfred Bockemühl,männlich,Bochum,Niefern-Öschelbronn,"Hochschullehrer, Ingenieur",1896,1992.0,lokal,wissenschaftlich,Ingenieur,,,,nein
1564,Meschwitzstraße,Friedrich Wilhelm Meschwitz,männlich,Bockau,Blasewitz,Förster,1815,1888.0,lokal,administrativ,Sonstige,,,,ja
1201,Wilhelm-Külz-Straße,Wilhelm Külz,männlich,Borna,Berlin,"Lord Mayor, Politiker, Rechtsanwalt",1875,1948.0,lokal,politisch,Bürgermeister,Liberalismus,"DDP, LDP, DPD",,nein
1180,Ricarda-Huch-Straße,Ricarda Huch,weiblich,Braunschweig,Schönberg,"Librettist, Romancier, Philosoph, Musiker, Dramatiker, Historiker, Bibliothekar, Dichter, Schriftsteller",1864,1947.0,national,kulturell,Schriftsteller,,,,nein
1013,Brueghelstraße,Pieter Bruegel der Ältere,männlich,Breda,Brüssel,"Zeichner, Druckgrafiker, Maler",1525,1569.0,international,kulturell,Bildender Künstler,,,,nein
1619,Tzschimmerstraße,Gabriel Tzschimmer,männlich,Dresden,Dresden,Politiker,1629,1694.0,lokal,politisch,Bürgermeister,,,,ja
1766,Ermelstraße,Friedrich August Ermel,männlich,Dresden,Dresden,Politiker,1740,1812.0,lokal,politisch,Bürgermeister,,,,ja
1466,Neubertstraße,Heinrich Moritz Neubert,männlich,Ehrenfriedersdorf,Dresden,"Jurist, Bürgermeister",1809,1881.0,lokal,politisch,Bürgermeister,,,,ja
1744,Dülferstraße,Martin Dülfer,männlich,Breslau,Dresden,"Hochschullehrer, Architekt",1859,1942.0,lokal,kulturell,Architekt,,,,ja
1539,Blüherstraße,Bernhard Blüher,männlich,Freiberg,Dresden,Politiker,1864,1938.0,lokal,politisch,Bürgermeister,National-Liberalismus,"NLP, DVP",,ja
1620,Dornblüthstraße,Marcus Dornblüth,männlich,Großenhain,Dresden,Politiker,1642,1715.0,lokal,politisch,Bürgermeister,,,,ja
1131,Baluschekstraße,Hans Baluschek,männlich,Breslau,Berlin,"Grafiker, Maler, Illustrator, Schriftsteller",1870,1935.0,national,kulturell,Bildender Künstler,,,,nein
876,Franklinstraße,Benjamin Franklin,männlich,Boston,Philadelphia,"Universalgelehrter, Diplomat, Politiker, Schriftsteller",1706,1790.0,international,politisch,Erfinder,,,,nein
1706,Julius-Scholtz-Straße,Julius Scholtz,männlich,Breslau,Dresden,"Hochschullehrer, Maler",1825,1893.0,lokal,kulturell,Bildender Künstler,,,,ja
1452,Pfotenhauerstraße,Wilhelm Pfotenhauer,männlich,Hohenstein-Ernstthal,Dresden,Politiker,1812,1877.0,lokal,politisch,Bürgermeister,,,,ja
1819,Behrischstraße,Burkhard Leberecht Behrisch,männlich,Langendorf,,"Gutsherr, Jurist, Bürgermeister",1682,1750.0,lokal,politisch,Bürgermeister,,,,nein
1315,Droste-Hülshoff-Straße,Annette von Droste-Hülshoff,weiblich,Burg Hülshoff,Burg Meersburg,"Romancier, Dramatiker, Dichter, Komponist, Schriftsteller",1797,1848.0,national,kulturell,Schriftsteller,,,,nein
1765,Pohlandstraße,Carl Christian Pohland,männlich,Neustadt an der Orla,,Politiker,1769,1847.0,lokal,politisch,Bürgermeister,,,,ja
911,Huttenstraße,Ulrich von Hutten,männlich,Burg Steckelberg,Ufenau,"Philosoph, Reichsritter, Mönch, Dichter, Politiker, Schriftsteller",1488,1523.0,national,kulturell,Schriftsteller,,,,nein
1204,Wilhelmine-Reichard-Ring,Wilhelmine Reichard,weiblich,Braunschweig,Döhlen,Ballonfahrer,1788,1848.0,lokal,kulturell,Sonstige,,,,nein
1116,Gaußstraße,Carl Friedrich Gauß,männlich,Braunschweig,Göttingen,"Geophysiker, Statistiker, Wissenschaftsautor, Hochschullehrer, Vermesser, Mathematiker, Physiker, Astronom",1777,1855.0,national,wissenschaftlich,Naturwissenschaftler,,,,nein
1807,Leßkestraße,Friedrich August Leßke,männlich,Burkau,Gorbitz,Schriftsteller,1841,1904.0,lokal,kulturell,Schriftsteller,,,,ja
1277,Hermann-Hesse-Straße,Hermann Hesse,männlich,Calw,Montagnola,"Nobelpreisträger, Pazifist, Literat, Librettist, Philosoph, Romancier, Maler, Illustrator, Widerstandskämpfer, Buchhändler, Dichter, Schriftsteller",1877,1962.0,national,kulturell,Schriftsteller,,,,nein
1141,Michelangelostraße,Michelangelo,männlich,Caprese Michelangelo,Rom,"Bauzeichner, bildender Künstler, Bildhauer, Maler, Generalunternehmer, Ingenieur, Dichter, Architekt, Schriftsteller",1475,1564.0,international,kulturell,Bildender Künstler,,,,nein
1648,Barkhausenstraße,Heinrich Barkhausen,männlich,Bremen,Dresden,"Privatdozent, Hochschullehrer, Physiker, Ingenieur",1881,1956.0,lokal,wissenschaftlich,Naturwissenschaftler,,,,ja
1500,Georg-Mehrtens-Straße,Georg Christoph Mehrtens,männlich,Bremerhaven,Dresden,"Bauingenieur, Hochschullehrer",1843,1917.0,lokal,wissenschaftlich,Ingenieur,,,,ja
1721,Josef-Hegenbarth-Weg,Josef Hegenbarth,männlich,Česká Kamenice,Dresden,"Zeichner, Grafiker, Hochschullehrer, Illustrator, Maler, Künstler",1884,1962.0,lokal,kulturell,Bildender Künstler,,,,ja
1769,Jacobistraße,Johann Georg Ferdinand Jacobi,männlich,Winningen,Dresden,"Jurist, Schriftsteller, Richter, Bürgermeister",1766,1848.0,lokal,politisch,Bürgermeister,,,,ja
1453,Hertelstraße,Theodor Julius Hertel,männlich,Wurzen,Dresden,Politiker,1807,1880.0,lokal,politisch,Bürgermeister,,,,ja
1085,Lönsweg,Hermann Löns,männlich,Chełmno,Loivre,"Journalist, Dichter, Schriftsteller, Drehbuchautor",1866,1914.0,national,kulturell,Schriftsteller,,,,nein
1292,Glasewaldtstraße,Friedrich Glasewaldt,männlich,,,Bürgermeister,1706,1784.0,lokal,politisch,Bürgermeister,,,,nein
1342,Georg-Kühne-Straße,Georg Kühne,männlich,,,,1879,1965.0,lokal,politisch,Bürgermeister,,,,nein
1699,Hans-Jüchser-Straße,Hans Jüchser,männlich,Chemnitz,Dresden,"Zeichner, Grafiker, Maler, Fotograf",1894,1977.0,lokal,kulturell,Bildender Künstler,,,,ja
1501,Gertrud-Caspari-Straße,Gertrud Caspari,weiblich,Chemnitz,Klotzsche,"Illustrator, Schriftsteller",1873,1948.0,lokal,kulturell,Bildender Künstler,,,,ja
1123,Angelikastraße,Angelika Kauffmann,weiblich,Chur,Rom,"Druckgrafiker, bildender Künstler, Maler, Künstler",1741,1807.0,international,kulturell,Bildender Künstler,,,,nein
1401,Schongauerstraße,Martin Schongauer,männlich,Colmar,Breisach am Rhein,"Kupferstecher, Zeichner, Grafiker, Maler, Künstler, Graveur",1440,1491.0,national,kulturell,Bildender Künstler,,,,nein
1512,Toeplerstraße,August Toepler,männlich,Brühl,Dresden,"Hochschullehrer, Chemiker, Physiker, Ingenieur",1836,1912.0,lokal,wissenschaftlich,Naturwissenschaftler,,,,ja
1628,Hermann-Glöckner-Straße,Hermann Glöckner,männlich,Cotta,Berlin,"Druckgrafiker, Bildhauer, Maler",1889,1987.0,lokal,kulturell,Bildender Künstler,,,,ja
858,Emerich-Ambros-Ufer,Emerich Ambros,männlich,Budapest,KZ Hohnstein,Funktionär,1896,1933.0,lokal,politisch,Sonstige,NS-Widerstand,,,nein
1576,Reinickstraße,Robert Reinick,männlich,Danzig,Dresden,"Librettist, Grafiker, Maler, Illustrator, Dichter, Schriftsteller",1805,1852.0,lokal,kulturell,Bildender Künstler,,,,ja
1602,Hugo-Bürkner-Straße,Hugo Bürkner,männlich,Dessau,Dresden,"Kupferstecher, Radierer, Grafiker, Hochschullehrer, Holzschneider, Illustrator, Maler",1818,1897.0,lokal,kulturell,Bildender Künstler,,,,ja
1106,Wilhelm-Müller-Straße,Wilhelm Müller,männlich,Dessau,Dessau,"Übersetzer, Dichter, Militär, Komponist, Schriftsteller",1794,1827.0,national,kulturell,Schriftsteller,,,,nein
1770,Bergmannstraße,Ehregott Friedrich Bergmann,männlich,,,Bürgermeister,1710,1773.0,lokal,politisch,Bürgermeister,,,,nein
1693,Kurt-Liebmann-Straße,Kurt Liebmann,männlich,Dessau,Dresden,"Hochschullehrer, Schriftsteller",1897,1981.0,lokal,kulturell,Schriftsteller,,,,ja
1118,Freiligrathstraße,Ferdinand Freiligrath,männlich,Detmold,Bad Cannstatt,"Linguist, Übersetzer, Dichter, Schriftsteller",1810,1876.0,national,kulturell,Schriftsteller,,,,nein
1072,Bolivarstraße,Simón Bolívar,männlich,Caracas,,"Offizier, Politiker",1783,1830.0,international,politisch,Sonstige,Koloniale Unabhängigkeit,,,nein
1772,Hüblerplatz,Balthasar Hübler,männlich,,Dresden,"Politiker, Rechtsanwalt",1788,1866.0,lokal,politisch,Bürgermeister,,,,ja
1461,Elfriede-Lohse-Wächtler-Straße,Elfriede Lohse-Wächtler,weiblich,Dresden,Pirna,"Grafiker, Maler, Künstler",1899,1940.0,lokal,kulturell,Bildender Künstler,NS-Verfolgte,,,ja
1773,Hüblerstraße,Balthasar Hübler,männlich,,Dresden,"Politiker, Rechtsanwalt",1788,1866.0,lokal,politisch,Bürgermeister,,,,ja
