ID,Straßenname,benannt nach [WD],Geschlecht,Geburtsort,Sterbeort,Beruf [WD],Geburtsjahr,Todesjahr,Wirkungsbereich,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Partei,Sonstiges
1438,Stübelallee,Paul Alfred Stübel,männlich,Dresden,Dresden,"Jurist, Politiker",1827,1895,lokal,politisch,Abgeordneter,National-Liberalismus,NLP,
1703,Gußmannstraße,Otto Gussmann,männlich,Bad Mergentheim,Dresden,"Hochschullehrer, Maler",1869,1926,lokal,kulturell,Bildender Künstler,,,
1434,Gillestraße,Christian Friedrich Gille,männlich,Ballenstedt,Wahnsdorf,Maler,1805,1899,lokal,kulturell,Bildender Künstler,,,
1026,Caroline-Bardua-Straße,Caroline Bardua,weiblich,Ballenstedt,Ballenstedt,"Salonnière, Maler",1781,1864,lokal,kulturell,Bildender Künstler,,,
871,Böcklinstraße,Arnold Böcklin,männlich,Basel,Fiesole,"Zeichner, Designer, Hochschullehrer, Bildhauer, Maler",1827,1901,international,kulturell,Bildender Künstler,,,
1846,Försterlingstraße,Friedrich Wilhelm Emil Försterling,männlich,Dresden,Dresden,"Kupferschmied, Politiker",1827,1872,lokal,politisch,Abgeordneter,Sozialdemokratie,LADAV,
3216,Josef-Burg-Straße,,männlich,Dresden,Jerusalem,"Politiker, Rabbi",1909,1999,lokal,politisch,Abgeordneter,Judentum,,
1509,Bellingrathstraße,Ewald Bellingrath,männlich,Barmen,Dresden,Ingenieur,1838,1903,lokal,ökonomisch,Ingenieur,,,
1711,Lehmannstraße,Johann Georg Lehmann,männlich,Baruth/Mark,Dresden,"Kartograf, Vermesser",1765,1811,lokal,wissenschaftlich,Sonstige,,,
1395,Paul-Wicke-Straße,Paul Wicke,männlich,Bautzen,Weixdorf,Maler,1892,1948,lokal,kulturell,Bildender Künstler,,,
1147,Else-Ulich-Beil-Straße,Else Ulich-Beil,weiblich,Elberfeld,Berlin,Politiker,1886,1965,lokal,politisch,Abgeordneter,,DDP,
1082,Eulerstraße,Leonhard Euler,männlich,Basel,Sankt Petersburg,"Musiktheoretiker, Hochschullehrer, Führungskraft, Geograph, Erfinder, Mathematiker, Physiker, Schriftsteller, Wissenschaftler, Astronom",1707,1783,international,wissenschaftlich,Naturwissenschaftler,,,
1146,Anna-Angermann-Straße,Anna Elisabeth Angermann,weiblich,Bautzen,,Maler,1883,1985,lokal,kulturell,Bildender Künstler,,,
1113,Erlweinstraße,Hans Erlwein,männlich,Bayerisch Gmain,,Architekt,1872,1914,lokal,kulturell,Architekt,,,
1536,Ackermannstraße,Karl Gustav Ackermann,männlich,Elsterberg,Dresden,"Dienstherr, Notar, Politiker, Rechtsanwalt",1820,1901,lokal,politisch,Abgeordneter,Monarchie,Deutschkonservative Partei,
1270,Wilhelm-Liebknecht-Straße,Wilhelm Liebknecht,männlich,Gießen,Charlottenburg,"Friedensaktivist, Revolutionär, Journalist, Politiker, Schriftsteller",1826,1900,regional,politisch,Abgeordneter,Sozialdemokratie,SPD,
1748,Clausen-Dahl-Straße,Johan Christian Dahl,männlich,Bergen (Norwegen),Dresden,"Maler, Professor",1788,1857,lokal,kulturell,Bildender Künstler,,,
962,Max-Liebermann-Straße,Max Liebermann,männlich,Berlin,Berlin,"Lithograf, Zeichner, Bauzeichner, Radierer, Sammler, Druckgrafiker, Grafiker, bildender Künstler, Maler, Illustrator, Lehrer",1847,1935,national,kulturell,Bildender Künstler,,,
1600,Ammonstraße,Christoph Ammon,männlich,Bayreuth,Dresden,"Linguist, Hochschullehrer, Theologe",1766,1850,lokal,religiös,Sonstige,evangelisch,,
1758,Kadenstraße,August Kaden,männlich,Großenhain,Dresden,"Verleger, Herausgeber, Politiker",1850,1913,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,
1190,Oskar-Pletsch-Straße,Oscar Pletsch,männlich,Berlin,Niederlößnitz,"Illustrator, Maler",1830,1888,lokal,kulturell,Bildender Künstler,,,
1112,Emil-Rosenow-Straße,Emil Rosenow,männlich,Köln,Schöneberg,"Journalist, Politiker, Schriftsteller",1871,1904,national,politisch,Abgeordneter,Sozialdemokratie,SPD,
1021,Breitscheidstraße,Rudolf Breitscheid,männlich,Köln,KZ Buchenwald,"Journalist, Politiker",1874,1944,national,politisch,Abgeordneter,"Sozialdemokratie, NS-Verfolgte","SPD, USPD, DV, Fvg",
1068,Breitscheidstraße (CB),Rudolf Breitscheid,männlich,Köln,KZ Buchenwald,"Journalist, Politiker",1874,1944,national,politisch,Abgeordneter,"Sozialdemokratie, NS-Verfolgte","SPD, USPD, DV, Fvg",
1223,Gutzkowstraße,Karl Gutzkow,männlich,Berlin,Frankfurt am Main,"Romancier, Literaturkritiker, Journalist, Dramatiker, Schriftsteller",1811,1878,lokal,kulturell,Schriftsteller,,,
1242,Clara-Zetkin-Straße,Clara Zetkin,weiblich,Königshain-Wiederau,Krasnogorsk,"Frauenrechtler, Friedensaktivist, Journalist, Herausgeber, Suffragette, Politiker, Lehrer, Schriftsteller",1857,1933,regional,politisch,Abgeordneter,Sozialismus/Kommunismus,"SPD, USPD, KPD",
3204,Clara-Zetkin-Straße (Radebeul),Clara Zetkin,weiblich,Königshain-Wiederau,Krasnogorsk,"Frauenrechtler, Friedensaktivist, Journalist, Herausgeber, Suffragette, Politiker, Lehrer, Schriftsteller",1857,1933,regional,politisch,Abgeordneter,Sozialismus/Kommunismus,"SPD, USPD, KPD",
1014,Julius-Vahlteich-Straße,Julius Vahlteich,männlich,Leipzig,Chicago,"Journalist, Kaufmann, Schuhmacher, Politiker",1839,1915,lokal,politisch,Abgeordneter,Sozialdemokratie,SPD,
954,Karl-Liebknecht-Straße,Karl Liebknecht,männlich,Leipzig,Berlin,"Revolutionär, Herausgeber, Politiker, Rechtsanwalt",1871,1919,national,politisch,Abgeordneter,Sozialismus/Kommunismus,"SPD, KPD",
1412,Ferdinand-Avenarius-Straße,Ferdinand Avenarius,männlich,Berlin,Kampen,"Publizist, Kunsthistoriker, Pädagoge, Dichter, Schriftsteller",1856,1923,lokal,kulturell,Schriftsteller,,,
1429,Tieckstraße,Ludwig Tieck,männlich,Berlin,Berlin,"Märchensammler, Romancier, Literaturkritiker, Verleger, Übersetzer, Dramatiker, Dichter, Schriftsteller",1773,1853,lokal,kulturell,Schriftsteller,,,
1133,Bertha-Dißmann-Straße,Bertha Dißmann,weiblich,Berlin,,"Sachbuchautor, Lehrer, Schriftsteller",1874,1954,lokal,kulturell,Schriftsteller,,,
1230,Hans-Thoma-Straße,Hans Thoma,männlich,Bernau im Schwarzwald,Karlsruhe,"Druckgrafiker, bildender Künstler, Grafiker, Hochschullehrer, Maler",1839,1924,national,kulturell,Bildender Künstler,,,
1685,Rudolf-Nehmer-Straße,Rudolf Nehmer,männlich,Bobrowice,Dresden,Maler,1912,1983,lokal,kulturell,Bildender Künstler,,,
977,Martin-Opitz-Straße,Martin Opitz,männlich,Bolesławiec,Danzig,"Literaturtheoretiker, Hauslehrer, Dichterjurist, Übersetzer, Dichter, Schriftsteller",1597,1639,national,kulturell,Schriftsteller,,,
958,Liebknechtstraße,Karl Liebknecht,männlich,Leipzig,Berlin,"Revolutionär, Herausgeber, Politiker, Rechtsanwalt",1871,1919,national,politisch,Abgeordneter,Sozialismus/Kommunismus,"SPD, KPD",
1109,Goetzplatz,Ferdinand Goetz,männlich,Leipzig,Leipzig,"Redakteur, Politiker, Arzt",1826,1915,regional,politisch,Abgeordneter,Turnerbewegung,NLP,
1477,Wigardstraße,Franz Jacob Wigard,männlich,Mannheim,Dresden,"Arzt, Politiker",1807,1885,lokal,politisch,Abgeordneter,National-Liberalismus,Deutsche Fortschrittspartei,
1025,Hugo-Hickmann-Straße,Hugo Hickmann,männlich,Meißen,Langebrück,"Theologe, Politiker",1877,1955,lokal,politisch,Abgeordneter,Konservatismus,"DVP, DDR-CDU",
1307,Gautschweg,Karl Gautsch,männlich,Mochau,,Rechtsanwalt,1810,1879,lokal,politisch,Abgeordneter,Märzrevolution,,
1192,Vollmarstraße,Georg von Vollmar,männlich,München,Urfeld,"Politiker, Schriftsteller",1850,1922,regional,politisch,Abgeordneter,Sozialdemokratie,SPD,
873,Lennéstraße,Peter Joseph Lenné,männlich,Bonn,Potsdam,"Botaniker, Landschaftsarchitekt, Gärtner, Architekt",1789,1866,national,kulturell,Architekt,,,
984,Bruno-Bürgel-Straße,Bruno H. Bürgel,männlich,Berlin,Potsdam,"Science-Fiction-Schriftsteller, Schriftsteller, Astronom",1875,1948,national,wissenschaftlich,Naturwissenschaftler,,,
1714,Werner-Hartmann-Straße,Werner Hartmann,männlich,Berlin,Dresden,"Hochschullehrer, Physiker",1912,1988,lokal,wissenschaftlich,Naturwissenschaftler,,,
916,Lennéplatz,Peter Joseph Lenné,männlich,Bonn,Potsdam,"Landschaftsarchitekt, Botaniker, Gärtner, Architekt",1789,1866,national,kulturell,Architekt,,,
986,Charlotte-Bühler-Straße,Charlotte Bühler,weiblich,Berlin,Stuttgart,"Hochschullehrer, Psychologe",1893,1974,lokal,wissenschaftlich,Sonstige,,,
1834,Bönischplatz,Karl Friedrich Emil Bönisch,männlich,Neukirch,Dresden,"Politiker, Bürgermeister",1832,1894,lokal,politisch,Abgeordneter,Liberalismus,DFP,
1041,Julie-Salinger-Weg,Julie Salinger,weiblich,Ostpreußen,KZ Theresienstadt,"Redner, Rechtsschutz, Politiker",1863,1942,lokal,politisch,Abgeordneter,NS-Verfolgte,DDP,
956,Konrad-Zuse-Straße,Konrad Zuse,männlich,Berlin-Wilmersdorf,Hünfeld,"Bauingenieur, Erfinder, Unternehmer, Informatiker, Ingenieur",1910,1995,national,ökonomisch,Erfinder,,,
868,Simrockstraße,Karl Simrock,männlich,Bonn,Bonn,"Linguist, Germanist, Hochschullehrer, Dichterjurist, Übersetzer, Dichter",1802,1876,national,kulturell,Schriftsteller,,,
1252,Curt-Querner-Straße,Curt Querner,männlich,Börnchen,Kreischa,"Zeichner, Maler",1904,1976,lokal,kulturell,Bildender Künstler,,,
1615,Georg-Schumann-Straße,Georg Schumann,männlich,Reudnitz,Dresden,"Widerstandskämpfer, Politiker",1886,1945,lokal,politisch,Abgeordneter,"NS-Widerstand, Sozialismus/Kommunismus","KPD, SPD",
1802,Preußerstraße,Johann Gottlob Preußer,männlich,Siebenlehn,Dresden,Landtagsabgeordneter,1766,1832,lokal,politisch,Abgeordneter,,,
1271,Zamenhofstraße,Ludwik Lejzer Zamenhof,männlich,Białystok,Warschau,"Facharzt für Augenheilkunde, Bibelübersetzer, Esperantologe, Philologe, Linguist, Esperantist, Erfinder, Dichterarzt, Übersetzer, Arzt, Dichter",1859,1917,international,kulturell,Erfinder,,,
1506,Dinglingerstraße,Johann Melchior Dinglinger,männlich,Biberach an der Riß,Dresden,"bildender Künstler, Maler, Juwelier, Goldschmied",1664,1731,lokal,kulturell,Sonstige,,,
1585,Hartwigweg,Gustav Hartwig,männlich,Unkersdorf,Dresden,"Baumeister, Politiker",1839,1908,lokal,politisch,Abgeordneter,"Antisemitismus, Konservatismus","DRP, CSP",
1488,Zinzendorfstraße,Nikolaus Ludwig von Zinzendorf,männlich,Dresden,Herrnhut,"Kirchenlieddichter, Reformator, Übersetzer, Theologe, Priester, Dichter, Schriftsteller",1700,1760,lokal,religiös,Bischof,,,
1156,Anton-Günther-Weg,Anton Günther,männlich,Boží Dar,Boží Dar,"Lithograf, Dichter",1876,1937,regional,kulturell,Schriftsteller,,,
924,Comeniusplatz,Johann Amos Comenius,männlich,Uherský Brod,Amsterdam,"Linguist, Philosoph, Theologe, Pädagoge, Presbyter, Archivar, Historiker, Politiker, Lehrer, Schriftsteller, Bischof, Wissenschaftler",1592,1670,international,religiös,Bischof,,,
994,Dr.-Külz-Ring,Wilhelm Külz,männlich,Borna,Berlin,"Lord Mayor, Politiker, Rechtsanwalt",1875,1948,lokal,politisch,Bürgermeister,Liberalismus,"DDP, LDP, DPD",
939,Oeserstraße,Adam Friedrich Oeser,männlich,Bratislava,Leipzig,"Zeichner, Druckgrafiker, Radierer, Hochschullehrer, Maler, Illustrator, Künstler",1717,1799,lokal,kulturell,Bildender Künstler,,,
1197,Wittenstraße,Hans Witten von Köln,männlich,Braunschweig,Annaberg-Buchholz,Bildhauer,1450,1522,regional,kulturell,Bildender Künstler,,,
1420,Bockemühlstraße,Alfred Bockemühl,männlich,Bochum,Niefern-Öschelbronn,"Hochschullehrer, Ingenieur",1896,1992,lokal,wissenschaftlich,Ingenieur,,,
1564,Meschwitzstraße,Friedrich Wilhelm Meschwitz,männlich,Bockau,Blasewitz,Förster,1815,1888,lokal,administrativ,Sonstige,,,
1201,Wilhelm-Külz-Straße,Wilhelm Külz,männlich,Borna,Berlin,"Lord Mayor, Politiker, Rechtsanwalt",1875,1948,lokal,politisch,Bürgermeister,Liberalismus,"DDP, LDP, DPD",
1180,Ricarda-Huch-Straße,Ricarda Huch,weiblich,Braunschweig,Schönberg,"Librettist, Romancier, Philosoph, Musiker, Dramatiker, Historiker, Bibliothekar, Dichter, Schriftsteller",1864,1947,national,kulturell,Schriftsteller,,,
1013,Brueghelstraße,Pieter Bruegel der Ältere,männlich,Breda,Brüssel,"Zeichner, Druckgrafiker, Maler",1525,1569,international,kulturell,Bildender Künstler,,,
1619,Tzschimmerstraße,Gabriel Tzschimmer,männlich,Dresden,Dresden,Politiker,1629,1694,lokal,politisch,Bürgermeister,,,
1766,Ermelstraße,Friedrich August Ermel,männlich,Dresden,Dresden,Politiker,1740,1812,lokal,politisch,Bürgermeister,,,
1466,Neubertstraße,Heinrich Moritz Neubert,männlich,Ehrenfriedersdorf,Dresden,"Jurist, Bürgermeister",1809,1881,lokal,politisch,Bürgermeister,,,
1744,Dülferstraße,Martin Dülfer,männlich,Breslau,Dresden,"Hochschullehrer, Architekt",1859,1942,lokal,kulturell,Architekt,,,
1539,Blüherstraße,Bernhard Blüher,männlich,Freiberg,Dresden,Politiker,1864,1938,lokal,politisch,Bürgermeister,National-Liberalismus,"NLP, DVP",
1620,Dornblüthstraße,Marcus Dornblüth,männlich,Großenhain,Dresden,Politiker,1642,1715,lokal,politisch,Bürgermeister,,,
1131,Baluschekstraße,Hans Baluschek,männlich,Breslau,Berlin,"Grafiker, Maler, Illustrator, Schriftsteller",1870,1935,national,kulturell,Bildender Künstler,,,
876,Franklinstraße,Benjamin Franklin,männlich,Boston,Philadelphia,"Universalgelehrter, Diplomat, Politiker, Schriftsteller",1706,1790,international,politisch,Erfinder,,,
1706,Julius-Scholtz-Straße,Julius Scholtz,männlich,Breslau,Dresden,"Hochschullehrer, Maler",1825,1893,lokal,kulturell,Bildender Künstler,,,
1452,Pfotenhauerstraße,Wilhelm Pfotenhauer,männlich,Hohenstein-Ernstthal,Dresden,Politiker,1812,1877,lokal,politisch,Bürgermeister,,,
1819,Behrischstraße,Burkhard Leberecht Behrisch,männlich,Langendorf,,"Gutsherr, Jurist, Bürgermeister",1682,1750,lokal,politisch,Bürgermeister,,,
1315,Droste-Hülshoff-Straße,Annette von Droste-Hülshoff,weiblich,Burg Hülshoff,Burg Meersburg,"Romancier, Dramatiker, Dichter, Komponist, Schriftsteller",1797,1848,national,kulturell,Schriftsteller,,,
1765,Pohlandstraße,Carl Christian Pohland,männlich,Neustadt an der Orla,,Politiker,1769,1847,lokal,politisch,Bürgermeister,,,
911,Huttenstraße,Ulrich von Hutten,männlich,Burg Steckelberg,Ufenau,"Philosoph, Reichsritter, Mönch, Dichter, Politiker, Schriftsteller",1488,1523,national,kulturell,Schriftsteller,,,
1204,Wilhelmine-Reichard-Ring,Wilhelmine Reichard,weiblich,Braunschweig,Döhlen,Ballonfahrer,1788,1848,lokal,kulturell,Sonstige,,,
1116,Gaußstraße,Carl Friedrich Gauß,männlich,Braunschweig,Göttingen,"Geophysiker, Statistiker, Wissenschaftsautor, Hochschullehrer, Vermesser, Mathematiker, Physiker, Astronom",1777,1855,national,wissenschaftlich,Naturwissenschaftler,,,
1807,Leßkestraße,Friedrich August Leßke,männlich,Burkau,Gorbitz,Schriftsteller,1841,1904,lokal,kulturell,Schriftsteller,,,
1277,Hermann-Hesse-Straße,Hermann Hesse,männlich,Calw,Montagnola,"Nobelpreisträger, Pazifist, Literat, Librettist, Philosoph, Romancier, Maler, Illustrator, Widerstandskämpfer, Buchhändler, Dichter, Schriftsteller",1877,1962,national,kulturell,Schriftsteller,,,
1141,Michelangelostraße,Michelangelo,männlich,Caprese Michelangelo,Rom,"Bauzeichner, bildender Künstler, Bildhauer, Maler, Generalunternehmer, Ingenieur, Dichter, Architekt, Schriftsteller",1475,1564,international,kulturell,Bildender Künstler,,,
1648,Barkhausenstraße,Heinrich Barkhausen,männlich,Bremen,Dresden,"Privatdozent, Hochschullehrer, Physiker, Ingenieur",1881,1956,lokal,wissenschaftlich,Naturwissenschaftler,,,
1500,Georg-Mehrtens-Straße,Georg Christoph Mehrtens,männlich,Bremerhaven,Dresden,"Bauingenieur, Hochschullehrer",1843,1917,lokal,wissenschaftlich,Ingenieur,,,
1721,Josef-Hegenbarth-Weg,Josef Hegenbarth,männlich,Česká Kamenice,Dresden,"Zeichner, Grafiker, Hochschullehrer, Illustrator, Maler, Künstler",1884,1962,lokal,kulturell,Bildender Künstler,,,
1769,Jacobistraße,Johann Georg Ferdinand Jacobi,männlich,Winningen,Dresden,"Jurist, Schriftsteller, Richter, Bürgermeister",1766,1848,lokal,politisch,Bürgermeister,,,
1453,Hertelstraße,Theodor Julius Hertel,männlich,Wurzen,Dresden,Politiker,1807,1880,lokal,politisch,Bürgermeister,,,
1085,Lönsweg,Hermann Löns,männlich,Chełmno,Loivre,"Journalist, Dichter, Schriftsteller, Drehbuchautor",1866,1914,national,kulturell,Schriftsteller,,,
1292,Glasewaldtstraße,Friedrich Glasewaldt,männlich,,,Bürgermeister,1706,1784,lokal,politisch,Bürgermeister,,,
1342,Georg-Kühne-Straße,Georg Kühne,männlich,,,,1879,1965,lokal,politisch,Bürgermeister,,,
1699,Hans-Jüchser-Straße,Hans Jüchser,männlich,Chemnitz,Dresden,"Zeichner, Grafiker, Maler, Fotograf",1894,1977,lokal,kulturell,Bildender Künstler,,,
1501,Gertrud-Caspari-Straße,Gertrud Caspari,weiblich,Chemnitz,Klotzsche,"Illustrator, Schriftsteller",1873,1948,lokal,kulturell,Bildender Künstler,,,
1123,Angelikastraße,Angelika Kauffmann,weiblich,Chur,Rom,"Druckgrafiker, bildender Künstler, Maler, Künstler",1741,1807,international,kulturell,Bildender Künstler,,,
1401,Schongauerstraße,Martin Schongauer,männlich,Colmar,Breisach am Rhein,"Kupferstecher, Zeichner, Grafiker, Maler, Künstler, Graveur",1440,1491,national,kulturell,Bildender Künstler,,,
1512,Toeplerstraße,August Toepler,männlich,Brühl,Dresden,"Hochschullehrer, Chemiker, Physiker, Ingenieur",1836,1912,lokal,wissenschaftlich,Naturwissenschaftler,,,
1628,Hermann-Glöckner-Straße,Hermann Glöckner,männlich,Cotta,Berlin,"Druckgrafiker, Bildhauer, Maler",1889,1987,lokal,kulturell,Bildender Künstler,,,
858,Emerich-Ambros-Ufer,Emerich Ambros,männlich,Budapest,KZ Hohnstein,Funktionär,1896,1933,lokal,politisch,Sonstige,NS-Widerstand,,
1576,Reinickstraße,Robert Reinick,männlich,Danzig,Dresden,"Librettist, Grafiker, Maler, Illustrator, Dichter, Schriftsteller",1805,1852,lokal,kulturell,Bildender Künstler,,,
1602,Hugo-Bürkner-Straße,Hugo Bürkner,männlich,Dessau,Dresden,"Kupferstecher, Radierer, Grafiker, Hochschullehrer, Holzschneider, Illustrator, Maler",1818,1897,lokal,kulturell,Bildender Künstler,,,
1106,Wilhelm-Müller-Straße,Wilhelm Müller,männlich,Dessau,Dessau,"Übersetzer, Dichter, Militär, Komponist, Schriftsteller",1794,1827,national,kulturell,Schriftsteller,,,
1770,Bergmannstraße,Ehregott Friedrich Bergmann,männlich,,,Bürgermeister,1710,1773,lokal,politisch,Bürgermeister,,,
1693,Kurt-Liebmann-Straße,Kurt Liebmann,männlich,Dessau,Dresden,"Hochschullehrer, Schriftsteller",1897,1981,lokal,kulturell,Schriftsteller,,,
1118,Freiligrathstraße,Ferdinand Freiligrath,männlich,Detmold,Bad Cannstatt,"Linguist, Übersetzer, Dichter, Schriftsteller",1810,1876,national,kulturell,Schriftsteller,,,
1072,Bolivarstraße,Simón Bolívar,männlich,Caracas,,"Offizier, Politiker",1783,1830,international,politisch,Sonstige,Koloniale Unabhängigkeit,,
1772,Hüblerplatz,Balthasar Hübler,männlich,,Dresden,"Politiker, Rechtsanwalt",1788,1866,lokal,politisch,Bürgermeister,,,
1461,Elfriede-Lohse-Wächtler-Straße,Elfriede Lohse-Wächtler,weiblich,Dresden,Pirna,"Grafiker, Maler, Künstler",1899,1940,lokal,kulturell,Bildender Künstler,NS-Verfolgte,,
1773,Hüblerstraße,Balthasar Hübler,männlich,,Dresden,"Politiker, Rechtsanwalt",1788,1866,lokal,politisch,Bürgermeister,,,
1078,Morseweg,Samuel F. B. Morse,männlich,Charlestown,Manhattan,"Hochschullehrer, Bildhauer, Maler, Erfinder, Physiker, Schriftsteller, Fotograf",1791,1872,international,wissenschaftlich,Erfinder,,,
1450,Karcherallee,Johann Friedrich Karcher,männlich,Dresden,Dresden,"Baumeister, Architekt",1650,1726,lokal,kulturell,Architekt,,,
1460,Bräterstraße,Edmund Bräter,männlich,Dresden,Langebrück,Architekt,1855,1925,lokal,kulturell,Architekt,,,
1484,Ermischstraße,Hubert Georg Ermisch,männlich,Dresden,Dresden,Architekt,1883,1951,lokal,kulturell,Architekt,,,
1704,Knöffelstraße,Johann Christoph Knöffel,männlich,Dresden,Dresden,"Baumeister, Architekt",1686,1752,lokal,kulturell,Architekt,,,
1735,Weißbachstraße,Karl Weißbach,männlich,Dresden,Dresden,"Hochschullehrer, Architekt",1841,1905,lokal,kulturell,Architekt,,,
1813,Busmannstraße,Lorenz Busmann,männlich,,,,,1406,lokal,politisch,Bürgermeister,,,
1818,Voglerstraße,Christian Heinrich Vogler,männlich,,Dresden,Bürgermeister,1658,1746,lokal,politisch,Bürgermeister,,,
1347,Theilestraße,Friedrich Theile,männlich,Chemnitz,Lockwitz,"Arzt, Heimatforscher",1814,1899,lokal,politisch,Sonstige,Märzrevolution,,
1863,Tirmannstraße,Nicolaus Tirmann,männlich,,Dresden,Politiker,1350,1437,lokal,politisch,Bürgermeister,,,
